Year,Month,Crop,Region,Temperature,Rainfall,Humidity,Soil_pH,Soil_Nitrogen,Soil_Phosphorus,Soil_Potassium,Fertilizer_Use,Pesticide_Use,Previous_Year_Yield,Sowing_To_Harvest_Days,Predicted_Yield
2015,7,Millets,Raipur Division,24.160444233365176,247.86588522237975,47.27278068418085,7.678183978187423,27.463268869672973,29.83638002341929,198.36654274573192,171.70692865544768,7.206678674601394,2126.906143382402,143,2317.4124038579707
2025,11,Til,Bilaspur Division,16.841905064658047,200.61745767586376,73.48177525570947,8.253317957483318,35.351879039709154,56.902692677696486,197.39926234540448,190.5582042755692,0.48550427208863156,2447.977450883464,111,4071.619383166272
2025,4,Arhar,Raipur Division,26.06758032253415,177.90964562975353,80.1849357947914,8.225041630729029,28.002077222155684,17.656740030220192,85.60406485845407,140.55362590228015,6.511923081508607,1658.9457477756885,115,2493.8151925277507
2024,6,Rice,Balod Division,27.832638176547093,65.25178575134872,81.74937731389805,7.313722330774727,23.51268173286256,10.492341250600548,214.9362478455873,98.65461689413972,2.2140990979318986,4871.15724874266,172,3087.440213417863
2017,9,Til,Surguja Division,29.075846219810153,121.95782471290147,48.959828467513645,7.083286196009343,25.52394941376629,21.90426064035588,105.22372648869163,225.47490410827828,0.8186150591629393,3506.9855815634714,149,4406.639466700678
2021,1,summer paddy,Bilaspur Division,22.46519628925518,73.31786169454247,81.13274347210044,7.1723229014908,19.69173316801866,51.01384298843273,236.0733315803059,198.58174399074449,3.008061610854341,4307.622993865726,128,5424.102976009305
2018,5,Kulthi,Sarangarh-Bilaigarh Division,26.273199420575246,290.9557902196184,32.456036662460725,8.434992423031744,46.979771310962114,20.466090802350852,122.9279982027566,229.971456369839,2.244728694286028,4684.788090103998,125,3809.345449705731
2023,11,Arhar,Sarangarh-Bilaigarh Division,24.01372949877826,83.77003655644017,32.97968948758313,7.819503075240877,30.869729031636584,22.043903185274136,221.5320794084513,213.6805294995647,5.5203237583985,6362.422811380796,110,3438.7876495890855
2017,7,Til,Surguja Division,28.441120775045068,87.94385246277551,67.41115171044927,5.818797714377188,10.536378154884925,16.49494022684054,103.24669890356029,248.0748859157725,3.573764034479624,1841.3293292775047,130,3703.1716933859498
2019,1,Mustard,Bilaspur Division,26.67113934649637,272.39415458262306,33.78638214693277,7.8352852203442,10.777850336781865,45.77181016382702,152.9053873164481,88.43454664288979,9.659937424083262,3589.58842415719,137,3051.7236470295447
2017,4,Urd,Raipur Division,25.515124391182695,285.98207086911447,49.47655011060969,6.0116141466946775,48.918465398081665,13.458709525270859,71.37705909781211,67.34955356079482,9.635495993908506,2729.4896676324056,115,1488.0164048024455
2021,6,Jwar,Raipur Division,19.99048733676497,241.45725980872746,70.36535917481544,6.842051647016877,18.858035654929804,26.560415116426082,182.0237805992348,117.4005582674517,4.437152691202395,3883.5596592840707,152,3328.931591356896
2019,2,Groundnut,Balod Division,15.04037035496468,51.35123091816747,50.23601376325358,6.1313790165296025,42.22433155257259,24.124936331048225,217.21585503336766,75.80083500465179,7.950874606602596,6102.361503069441,166,4207.760744555905
2023,10,Til,Balod Division,18.481633506228587,50.336567739140925,40.775986886405754,7.56874919659969,12.33101206242298,37.75798648950774,193.6894562604832,154.62602258124485,0.13268540860875033,5119.921326240757,125,4299.521859831594
2021,5,Millets,Raipur Division,17.341320828483372,144.5251924468627,46.8810373112305,8.131929208579107,46.846509467781964,46.52081325098678,154.65170258773145,176.6057810815485,5.478115847248026,4809.747932399467,113,3116.9532399995937
2016,11,Gram,Sarangarh-Bilaigarh Division,23.981694900218933,85.84884250272313,57.45451993502591,6.371085656100043,44.976680146667135,36.643821734837374,59.0231757202919,165.65772303468074,7.43299172306979,3706.229382155887,179,2112.1264477291616
2018,10,Til,Sarangarh-Bilaigarh Division,27.24516301523689,54.59653553789932,58.52315132132894,5.746032223624563,32.84372649738059,56.55129964875338,236.68820143417167,101.84802707805403,2.1694322540733593,4855.56249187218,110,4683.811179628518
2023,1,Wheat,Balod Division,19.261700173696163,166.01667235112618,76.98001388083212,6.39547929422489,10.359946291330232,57.572131944366596,191.09790971572693,231.76480619375937,0.6117175516594375,1661.8768863720406,107,1864.8248875520865
2016,6,Gram,Surguja Division,33.78114191934374,285.7654743517429,75.00919376589076,7.517085573796583,20.312434960933505,28.07326642492577,199.1728476730666,54.23447274707569,1.559189359064559,4431.193360149472,104,2247.158597589743
2024,6,Urd,Raipur Division,15.133642584477755,130.95489372560786,57.409068273368106,6.48628038266335,26.272905895938603,48.88401881374464,208.93611510216144,119.60267075269859,4.41848087173857,4268.88281299624,168,1787.7566729254952
2023,4,Niger,Balod Division,30.44602030330686,215.28516960717414,80.74004094592628,6.33433650266141,28.402564669902475,46.94006916340948,199.54868518552215,193.7984950796122,5.06371420756262,3233.2021598159645,95,1682.2678976898837
2024,8,Kulthi,Balod Division,27.504095390608846,213.0588382831102,36.85422831548375,6.053305571752794,21.907150342494884,54.64822958524137,138.22323281966675,203.3857852698319,3.808851221087685,2507.570627120542,132,3317.0527881574276
2019,4,Kulthi,Raipur Division,22.471096020953638,112.77002591629193,45.32120101373409,6.992549280623301,11.317914729821199,32.397182010385166,196.72436585758936,133.22370888637198,4.3997376704238,5537.777754996505,120,4055.636119005099
2016,8,Rice,Raipur Division,16.009778888248157,212.60631220596608,79.6785878101351,6.3278464844715625,33.60509623706168,36.52365935988961,175.0053575620658,53.38196265127342,4.702349596092813,1769.3105722754824,117,2232.9012832665617
2018,8,Wheat,Sarangarh-Bilaigarh Division,27.549731435685587,103.08349357172281,52.67964231756919,7.693031047418449,30.96618670779024,30.788715679078702,220.8032667337573,173.60873582474747,7.694366616010963,1848.3643221179389,97,1975.3707522137995
2021,5,Arhar,Surguja Division,22.71227025731296,80.50185339422227,88.87089352763053,5.729867205976608,21.32002541716311,52.51884596498528,210.49196306747407,62.61893623664314,1.0524189807765238,3702.6087199207327,118,2990.3379524049424
2022,4,Millets,Surguja Division,33.725342788264385,225.34582138992252,57.97519689167012,7.492099099333952,11.519038702784263,21.485115768106716,58.27487649345198,71.5711552307029,7.6895046715939595,2762.7727370430252,110,2761.754255584007
2017,12,Til,Raipur Division,25.839801497795317,78.36020427597919,77.51613737782584,6.21268004370331,49.78376748887761,21.985453912122235,125.77741806652105,180.050143929238,6.886273022949982,5227.262067535103,170,4436.251859922859
2015,2,Til,Bilaspur Division,33.79303022587017,299.2273046473388,54.13842248294232,6.96783778315481,29.27944747305624,28.63025517885399,56.94323043677891,112.49766522857097,7.4166080947631805,4670.950384605955,177,4409.824047371054
2018,11,Masoor,Balod Division,19.409673869466083,95.86310028755733,55.49721114374582,6.358269766093782,40.24016967096309,21.51714160511756,70.41498495321959,119.60603054165058,7.344683858753228,5362.673980633158,147,4016.601406462976
2016,3,Gram,Balod Division,29.514518207282066,198.53546568911437,52.972988837051005,7.6683060280323865,28.092561402053416,38.05034182074604,170.28214440072227,147.36141539664868,4.705918158017837,3123.3947816890054,149,1816.8186286453301
2022,3,Kulthi,Raipur Division,27.344980416974515,152.84364285314734,73.14453723064871,8.33592112075491,11.72681163451766,16.724505324775116,224.76436423245067,245.71567897187478,2.1140018456090006,5202.594698089337,139,4063.101948114603
2018,4,Gram,Bilaspur Division,29.78816459662624,81.59660560141677,62.85107304359967,8.251230338409439,22.384029803420002,26.009310970202765,73.96495174185344,243.08844414774208,5.36628904301804,5811.516180131995,120,2748.782208306161
2016,4,Masoor,Sarangarh-Bilaigarh Division,19.293357279450735,56.96097689435335,86.62668668210215,7.250278645432273,22.804405640236048,55.6722349237795,140.2178574933663,133.252199872015,9.579820536090995,3226.3724720928585,136,4147.7215112905205
2020,10,Mustard,Raipur Division,28.299890324755474,205.6830705732083,45.05341899204629,6.887830909770935,43.53411616196065,30.461274009589797,232.17578096128875,103.09984344365644,5.885256813933637,3199.479105809167,123,3330.7478590991
2020,11,Gram,Raipur Division,24.96080786113738,251.68939094728154,36.03376392500666,7.954901528318145,36.16919911999498,47.41168582467546,212.86019673431755,110.51843053282315,0.11047145212777609,5999.757019532131,91,2680.050254565709
2024,11,Moong,Balod Division,29.856499498126325,260.503915376686,53.595689105952914,7.54997908788319,21.017196145578914,15.6731095853287,153.93357929318597,103.75625963232082,0.5971090487639064,1748.9512659385457,156,3395.7933231050924
2018,5,Soybean,Raipur Division,21.540892883036356,170.6783682692336,67.00276245880656,6.050692342650798,48.70959818636344,22.378225407089232,204.3142878657662,156.44916142835615,9.928634336035524,3250.947028654222,161,1948.3003036212358
2020,4,Wheat,Raipur Division,32.80114050930505,244.36386679559638,81.6479362149297,7.962757640839001,22.861673295914855,50.36728106001843,154.5387548089074,171.3719615601857,0.7194635923944037,2093.36246035902,141,1992.633315214012
2016,11,Wheat,Raipur Division,16.68602629222701,218.21178337213618,50.771813200819665,6.786653168184131,49.92936103314881,48.149646814484704,81.61846745656976,147.7558776459332,0.4604516004489856,1644.9029512498812,96,1860.118036118548
2024,10,Pea,Balod Division,31.143786375823762,231.0636318747833,69.2272050674677,6.066956979913526,49.84654772681053,29.307795929691057,74.94722264433582,131.59887244963045,3.530242693586554,2064.3470882341103,165,4428.602457397854
2016,8,Groundnut,Sarangarh-Bilaigarh Division,32.226392516301814,173.14975130545352,51.01192086139314,6.345392051189477,17.648420709869672,57.71984510167371,87.67364641341396,92.25700751398756,9.693172032693367,3656.228955901385,108,3667.426951507898
2024,6,Moong,Sarangarh-Bilaigarh Division,31.345046227336425,208.35293506053176,67.03317497966748,6.3025810907450275,22.50964464753601,55.53215079172727,120.18441899313589,146.5011182764227,3.1867515373286572,4934.780346138954,179,3864.264088920912
2018,6,Groundnut,Raipur Division,25.254527885235518,251.38147839401424,83.08847682183905,7.05762092381038,29.441767939386164,58.11503745561199,236.10585353480374,118.22054276049161,4.098841308752706,2946.4121222098147,104,3644.73538058654
2022,8,Niger,Balod Division,23.767699600615227,149.47104388925578,43.88145853556454,6.203110272033626,36.56402684591564,31.395734509389268,209.9356827307203,158.3190925596686,6.340770612085656,5748.3765370056235,167,1906.8192684008022
2021,7,Tiwra,Sarangarh-Bilaigarh Division,34.92524573049754,251.49472521689594,54.25449852642235,5.870699462204729,31.121897960151973,19.87367918428415,136.5603122452635,185.0378831023248,0.24111839326397821,3688.07814369175,137,2895.470695534701
2023,10,Rice,Sarangarh-Bilaigarh Division,19.583439024283244,198.0042106972657,89.59591178578479,5.871072551841282,48.777658765290276,41.33293195456705,148.6153419575148,176.66243488732212,8.97763577519188,6341.140254808717,103,3149.4260873014964
2022,11,Til,Sarangarh-Bilaigarh Division,25.93751931752089,91.47525609269655,82.11342169496766,7.249828591417289,38.959566569427665,44.238657913959926,103.12189153328296,142.49804208111868,5.194430175544321,6270.7783472185,92,5010.792676723123
2019,12,Urd,Balod Division,28.41351050764651,56.171039306146156,63.87839147377212,7.704277866548136,18.48179397531898,16.272089222526,190.87059129442602,161.2104848559922,4.66810906004058,5366.381113334075,139,2308.814416270135
2016,10,Tiwra,Balod Division,29.01735271722864,140.688400099788,60.99765551125652,6.464599026515023,14.203902008545533,49.3241517147953,210.5531342924076,106.97122619215193,8.607266622066303,6162.027480733091,143,3532.754791048709
2019,8,Wheat,Raipur Division,19.080493314771573,186.67408207408496,47.07602293828086,5.603952129442051,37.53605162837427,10.903010987998027,97.78093913351532,54.84805180447794,9.530765893580211,5035.480380805558,95,2351.2799025065815
2022,2,Tiwra,Surguja Division,28.079881846796024,259.95508805087206,61.03256566161176,5.881674660811032,16.33809760723052,34.13641937383917,58.364324757293076,175.00389083362083,4.234252316468348,5977.915949955907,138,3405.6826562097176
2024,9,Groundnut,Sarangarh-Bilaigarh Division,31.367391329626745,81.87142003506155,80.89088989679684,8.24408368101117,41.507073613430165,26.550812974744744,174.77778863259408,100.51371182753739,1.7244107929323071,2682.3685868315324,112,3777.368624010574
2023,1,Jwar,Surguja Division,16.000371536422243,250.05158692089478,71.11047079666683,6.9806309787683585,22.44146669041348,47.01515299495421,162.50242382706332,183.7907420136549,8.15709270002073,3227.101000883993,167,3313.322348734028
2023,8,Tiwra,Balod Division,33.23042586650633,265.7522615168067,47.4026416906792,6.860718428845525,23.075730522224262,25.6380363710908,130.42623100577526,199.40169991939186,4.0326042122248715,5264.650330024308,167,3210.560602995091
2015,12,Jwar,Balod Division,15.590081102904119,87.67187175020845,42.08783526321198,5.6141475349302725,10.43193569558048,51.34035563905164,178.77878835464202,233.18554922075623,9.35545539511766,3622.8061910327856,109,3356.409766647981
2023,11,Tiwra,Balod Division,22.11942064976789,262.89857982605474,45.91251221980975,7.685911066950697,38.04045068380163,39.74767443904052,160.1226595970287,241.6245590959226,9.498989838309829,5686.6371691225895,166,3507.6381249178
2021,12,Arhar,Surguja Division,15.316263924659241,297.863391960698,40.18555208356959,7.084204242796236,14.530790122587433,49.694668088103604,100.11631531883856,52.10520926194029,1.148290317213695,5888.194357938875,149,3670.5504145318823
2023,12,Soybean,Balod Division,16.542903370791638,231.7097077620594,35.738441761422955,6.106242808259562,40.91522309854073,59.467031891981186,129.54579512454447,248.0748418709275,9.565539673328512,2998.6474236046242,134,1919.897200600858
2022,4,Rice,Raipur Division,33.22336570360158,246.192420456247,55.1481704665233,5.830221280543172,29.674712876688268,43.95791728717784,135.62271394944833,186.60366369883218,3.6827032544512095,5617.254040947867,150,3076.6885845427882
2015,4,Urd,Balod Division,22.097216614922957,298.60381688971836,36.79797626389606,6.650163590895995,41.37119259818277,59.247515818082206,226.04959889511272,178.70483207483784,6.462525176571905,2271.3213553257506,145,1712.6006387974185
2022,5,Moong,Bilaspur Division,23.49543060850106,201.37031263148634,40.31475346362626,8.011485892585076,33.35706156790965,11.441816346085268,242.1808308257919,53.042619039071084,0.34750081734046034,3170.983557684245,91,3240.500775659734
2022,8,Soybean,Surguja Division,19.30688762765105,126.97159550406235,62.83948106036917,8.095883677603073,13.297330880759631,26.90699942419042,228.6002724792994,222.2466823773475,8.888842740838326,4089.824755606944,134,2200.5234735675012
2025,5,Urd,Bilaspur Division,26.941915403734395,259.38270851901393,39.87595642197448,7.308539141186909,40.62609346820732,15.392663228115458,193.83560481039592,79.09828944956527,6.4159732934486495,2632.218810519461,129,1400.3003961436525
2017,8,Pea,Balod Division,26.896064293555792,203.6214443779078,33.83278604585417,7.682609281690429,12.79197939578999,23.115246569221977,166.99854672116436,217.4660307866082,6.435544669564192,4396.339147875997,113,4586.459638716962
2015,10,Urd,Raipur Division,22.444007836504383,195.29885593023914,49.04333100167311,5.845467362208611,29.148068822773286,51.94439495628872,187.852327093191,53.1125092517432,9.021761599774837,4393.475393588233,118,1362.889319239278
2022,1,Rice,Sarangarh-Bilaigarh Division,21.660697436107966,113.40888887850957,43.21914591731805,7.264378196403564,16.893968565798534,11.616163266304515,237.82184414653779,179.19285249983227,5.083471749073432,2534.5144742545285,156,2610.257646578223
2017,12,Til,Balod Division,32.69928616361176,239.08356739572164,60.9183112796626,7.500897110461546,40.0934071191154,36.00914678661968,99.99974704476635,136.96030675396554,4.105166403625505,5478.206724427284,157,4612.591932772449
2017,10,Jwar,Raipur Division,22.665684792844026,70.41681896502406,36.14202507499256,6.102138528741377,46.463649112245065,38.35643537661865,157.024101534681,90.15334581186703,8.661287522923162,4658.222447057485,155,3602.94318736562
2015,9,Tiwra,Surguja Division,24.870019843088166,281.0717676986653,75.10624726097868,8.140464198730777,32.16504653433097,38.057557333597806,187.92160380008158,71.51227835408682,7.424205118713982,3088.8025341247712,173,2914.2435717030817
2025,6,Pea,Bilaspur Division,20.666095248498614,131.4558651926212,84.37401116610832,6.084990212563059,31.085891771967223,33.764853691162784,185.84940026485492,138.0255393092653,9.48975664964901,2660.9239173514597,143,4181.364940092683
2019,3,Jwar,Bilaspur Division,30.735390067142546,81.94366319749761,74.60611043737165,6.4404320795393515,40.558527853024714,49.53014823848777,100.45579191536729,74.66116106428495,9.401218933105326,5893.750694172468,142,4051.915440351161
2024,8,Arhar,Bilaspur Division,22.948963137981835,160.5916332756047,61.96962224408365,7.361670541070376,10.20315251902909,16.677154475277558,167.34630547795038,147.2893223382095,3.8232616456024027,5678.711226123263,168,3546.1115897693353
2021,9,Wheat,Surguja Division,25.27222093088649,60.61747731413329,81.6400693073331,7.415050195392192,46.71034570540643,25.52885077753937,209.18262848403128,175.04341173057045,4.469862901414179,2648.8033742776315,138,1716.8262035463829
2024,6,summer paddy,Raipur Division,20.067143401193228,221.15654856624158,71.69510278689046,7.598154222962101,17.89795268364527,40.786302672258635,145.01579601004877,215.47683872147164,2.559849537907785,1678.0261325825438,121,4802.170342008475
2023,11,Kulthi,Surguja Division,34.75319184682503,275.67637761133903,30.63306734701139,5.836035139204617,49.364755353049496,44.54756831339779,208.659615339747,185.72988743657334,6.6064788913856765,5522.662978715619,150,4095.7515677957895
2021,7,Wheat,Bilaspur Division,20.829914818474457,259.3157517846272,53.64540916647019,8.048393289785666,39.45015791841849,30.207421588852814,121.97651955091095,63.03995334123009,3.6454197008888656,4577.542776325215,131,2735.0166909865534
2023,1,Mustard,Balod Division,30.414850618111032,81.84236836197027,81.057113964408,7.09854139684978,40.97004590802684,53.76856316636166,237.7520254327518,111.48650650956745,7.861006466076711,2004.4101402672982,90,3406.412534265759
2022,5,summer paddy,Sarangarh-Bilaigarh Division,23.54991300713518,81.56778427693297,50.751531478516156,6.9139653823152045,36.24811921494426,30.774669834795716,156.78568809982022,107.59572158650008,1.2155076073091053,4436.791031094476,152,5429.601149784597
2016,5,Kulthi,Surguja Division,19.1243481016828,253.35862058106602,32.11291041153141,8.443292873540528,28.866527311406408,30.138806717416657,169.18959015852286,233.00648469421685,1.164028511657459,3760.9134268084713,124,4224.487513091154
2015,10,Pea,Surguja Division,30.994375279297223,281.06356865077896,74.77077831313633,7.721134890823059,32.86510773444662,11.810363074369247,56.27231376091768,223.5564088785527,2.0445538141939688,5372.7516373684575,140,4709.911711276966
2021,4,Wheat,Raipur Division,21.672135780580863,165.16745745837227,78.12229621697212,5.8540180798581245,11.856115440605027,37.557066809736696,84.05382742571885,124.02958367008338,0.8429218843741348,2545.42421079365,160,1940.4267958043745
2021,6,Masoor,Raipur Division,32.30386694795622,174.7427792284415,39.63562170259851,7.769617501678722,34.95838037728058,45.43404192559525,176.58677609420894,64.23105117651622,6.2003160767823475,3765.7837215251325,134,4008.7428304379437
2022,7,Masoor,Surguja Division,33.30514369835646,129.56551034643147,62.24042981059087,5.7857468019186085,35.04392407948187,15.721908175842405,133.97407435645425,228.82146356094668,1.4735276601673863,2281.2205712595837,166,3907.5014781223367
2019,9,Maize,Bilaspur Division,32.19647670782552,273.5662795641035,41.51732633974355,5.582411687538954,45.64803189607238,25.27163830439354,151.63275809163494,227.63799059283744,1.5996291746765423,6287.636139054233,154,2969.8908329025244
2017,1,Mustard,Sarangarh-Bilaigarh Division,15.700158296136113,211.225726323089,73.1540651426488,6.710877685809692,30.226254297208776,49.06284768914261,62.59428174674009,220.94922640614502,0.1422822372916599,5393.690784625821,103,3275.255574078436
2022,6,Urd,Raipur Division,30.74746690010211,122.06289429184213,46.29302731064914,8.480734518457655,13.085774963442443,28.295971770678772,216.82704768207685,219.01632754710033,7.820900146236099,5183.612132506983,92,1900.0172460538463
2020,7,Arhar,Bilaspur Division,23.22678932998288,124.6957177635629,48.972907353799805,6.024651808584588,22.24783681928325,22.080123102001995,206.90112045924346,146.05080021723094,8.12296055423481,4951.03332510401,113,3149.0841527812063
2025,3,Maize,Balod Division,32.474458403644505,272.8000182659006,80.69825121840609,7.5179330305803695,36.2251764845727,43.61003317825561,87.0707951443699,85.48633044991965,1.620224163644397,3616.6822123319084,154,2716.817040313288
2017,8,Gram,Raipur Division,27.759085253694774,53.408505976455366,58.57934113241426,6.020188198618358,19.570354510058557,19.83793888358278,176.86587145147587,145.49761009248556,7.395244342672244,6116.412078515724,137,2823.6522217563233
2015,5,Moong,Bilaspur Division,31.672862682879167,130.68164318165958,70.18526707309488,7.674360924875158,21.22111287421604,54.78264597915884,213.66304233085432,148.91955413389297,4.335451231573596,1864.5850596350272,99,3132.6418757461147
2017,9,Moong,Bilaspur Division,24.988635397336708,188.58917030409225,54.14238304334806,7.016061004713478,42.81876065443414,15.279919801307049,178.17082728312,147.98635064897215,2.3959488296539133,5516.295358394758,102,4109.587401116262
2019,5,Millets,Sarangarh-Bilaigarh Division,25.700510091978657,87.05436552483116,47.880411431625326,7.539915130268129,33.37278927050836,45.32749011414135,112.07961905916898,157.75451722302324,6.213846080738289,2576.1636605286635,162,2381.27414057729
2017,9,Rice,Sarangarh-Bilaigarh Division,17.887752642673345,73.02468854989745,67.52868362547969,6.108619527742704,30.341097270942903,34.977435064318755,181.22223009563342,101.53140459823102,1.784840743470848,3120.1397781692403,103,2426.780103833484
2015,10,Moong,Balod Division,30.679747173787106,253.81908277264,39.291454444729276,7.736884997561506,22.738078672232177,53.49647811984968,92.09234953664244,123.24823622672301,7.568836076530355,4097.148644836542,99,3662.002070224005
2019,4,Tiwra,Bilaspur Division,23.387792233339432,273.60109716212685,52.37999013401178,8.48685717886812,39.237121437321335,16.30975455131183,113.65099945588418,136.8373183926939,0.476152275705517,5413.275055277898,129,3309.8635062948774
2024,9,Maize,Bilaspur Division,25.00160236543165,255.90160519954736,42.54222224315534,7.496951501877879,21.508737379601172,43.89474592480439,98.01393062143573,76.22424190329997,9.591309329279143,5692.674538268683,112,3128.5592288929765
